filename	total_regions	last_region	region_sequence
NL-HaNA_1.04.02_10537_0142	12	unknown	header,paragraph,paragraph,marginalia,marginalia,unknown,catch-word,marginalia,paragraph,paragraph,marginalia,unknown
NL-HaNA_1.04.02_10537_0303	5	paragraph	header,header,paragraph,signature-mark,paragraph
NL-HaNA_1.04.02_2128_0758	10	unknown	paragraph,catch-word,unknown,unknown,paragraph,signature-mark,catch-word,paragraph,page-number,unknown
NL-HaNA_1.04.02_4343_0121	9	header	marginalia,header,marginalia,paragraph,catch-word,paragraph,catch-word,paragraph,header
NL-HaNA_1.04.02_7708_0134	3	catch-word	header,paragraph,catch-word
NL-HaNA_1.04.02_7876_0136	9	header	marginalia,marginalia,marginalia,marginalia,marginalia,marginalia,catch-word,paragraph,header
NL-HaNA_1.04.02_9917_0172	6	paragraph	paragraph,catch-word,marginalia,signature-mark,unknown,paragraph
NL-HaNA_1.04.02_9917_0414	4	paragraph	paragraph,catch-word,catch-word,paragraph
